close,date,high,low,open
1313.45508,2014-08-14,1319.65002,1308.84998,1312.995
1304.75,2014-08-15,1315.40002,1292.19995,1313.53003
1298.34998,2014-08-18,1304.79492,1295.44995,1304.79492
1295.71997,2014-08-19,1302.45996,1293.84998,1298.44995
1291.92993,2014-08-20,1298.15503,1287.75,1295.75
1276.68506,2014-08-21,1291.97998,1273.0,1291.75
1280.8501,2014-08-22,1283.25,1274.25,1276.69995
1276.82495,2014-08-25,1281.69995,1274.44995,1280.02002
1281.25,2014-08-26,1291.30005,1275.48999,1276.84998
1282.70496,2014-08-27,1287.75,1280.17993,1281.12
1289.65002,2014-08-28,1297.0,1282.31494,1282.81006
1287.32007,2014-08-29,1291.90002,1283.44507,1289.70508
1287.14001,2014-09-01,1290.40002,1282.55005,1287.32007
1265.35498,2014-09-02,1288.19995,1262.53003,1287.125
1269.40503,2014-09-03,1271.80005,1261.31494,1265.375
1261.60498,2014-09-04,1277.69995,1260.55005,1269.44995
1268.88,2014-09-05,1273.85498,1257.34497,1261.52502
1255.40002,2014-09-08,1271.95996,1251.51001,1268.77502
1255.35498,2014-09-09,1258.5,1247.5,1255.41992
1249.73499,2014-09-10,1257.94995,1243.94507,1255.45996
1240.8999,2014-09-11,1250.40002,1235.01001,1249.73499
1229.41992,2014-09-12,1241.84998,1227.59998,1240.83008
1233.43994,2014-09-15,1238.81006,1225.70996,1229.57007
1235.65002,2014-09-16,1242.40002,1231.72998,1233.41003
1223.37988,2014-09-17,1239.65503,1221.52502,1235.60498
1225.03003,2014-09-18,1228.19995,1215.89001,1223.37988
1216.34009,2014-09-19,1228.95508,1213.80005,1225.0
1215.01501,2014-09-22,1220.55005,1208.04492,1215.02502
1223.40002,2014-09-23,1235.91992,1214.0,1215.07007
1217.05005,2014-09-24,1226.40002,1215.78003,1223.36499
1221.57495,2014-09-25,1224.80005,1206.87,1217.09998
1218.26001,2014-09-26,1231.69995,1212.41992,1221.55005
1215.92993,2014-09-29,1223.44995,1214.97998,1217.88501
1208.21509,2014-09-30,1220.245,1204.55005,1215.94995
1213.90002,2014-10-01,1219.69995,1204.71997,1208.255
1214.65002,2014-10-02,1222.59998,1208.76001,1213.89001
1191.75,2014-10-03,1215.44995,1190.09998,1214.65002
1207.25,2014-10-06,1209.19995,1183.1499,1191.06494
1208.94995,2014-10-07,1213.80005,1203.0,1207.16992
1221.15991,2014-10-08,1224.40002,1205.04492,1208.875
1224.38989,2014-10-09,1233.5249,1219.07007,1221.08008
1223.33008,2014-10-10,1225.65002,1217.44507,1224.23999
1235.70996,2014-10-13,1237.94995,1222.72498,1222.72498
1232.77502,2014-10-14,1238.59998,1231.04004,1235.84998
1242.01001,2014-10-15,1250.0,1221.93994,1232.75
1238.96997,2014-10-16,1245.59998,1235.44995,1241.95496
1238.19995,2014-10-17,1241.90002,1231.76501,1238.78503
1246.90002,2014-10-20,1249.19995,1234.65002,1238.495
1248.64502,2014-10-21,1255.39502,1245.34497,1246.8999
1241.28491,2014-10-22,1249.94995,1240.55005,1248.66003
1231.79004,2014-10-23,1244.75,1226.34998,1241.23999
1231.05005,2014-10-24,1234.39502,1229.03503,1231.84998
1226.56006,2014-10-27,1232.125,1225.30005,1231.05005
1228.57007,2014-10-28,1235.67993,1222.40002,1226.5249
1212.15002,2014-10-29,1230.67993,1208.39502,1228.52502
1198.88,2014-10-30,1216.86499,1196.0,1212.16003
1172.84998,2014-10-31,1202.86499,1161.0,1199.85999
1165.57495,2014-11-03,1173.96997,1161.75,1172.84998
1168.44995,2014-11-04,1175.03491,1163.94995,1165.59009
1140.58008,2014-11-05,1169.91992,1137.80005,1168.39502
1141.94995,2014-11-06,1149.70508,1138.18994,1140.59998
1178.13,2014-11-07,1178.91992,1131.61499,1141.94995
1151.12,2014-11-10,1179.09998,1147.3999,1178.0
1164.32495,2014-11-11,1173.42505,1146.09998,1151.41504
1162.67505,2014-11-12,1170.255,1157.09998,1164.32007
1162.51001,2014-11-13,1168.19995,1153.98999,1162.79004
1188.67505,2014-11-14,1193.75,1146.94995,1162.55005
1186.63,2014-11-17,1194.44995,1181.58496,1188.83496
1197.06494,2014-11-18,1204.90002,1183.40002,1186.63
1182.75,2014-11-19,1202.40002,1175.19995,1197.125
1193.78003,2014-11-20,1197.25,1176.82495,1182.69507
1201.43994,2014-11-21,1207.94995,1186.89502,1193.84998
1197.0,2014-11-24,1204.44995,1192.80005,1201.18994
1200.94507,2014-11-25,1203.06006,1190.09998,1197.05005
1197.84998,2014-11-26,1201.94995,1194.92993,1200.91003
1190.90002,2014-11-27,1199.78003,1185.77502,1197.91504
1167.51501,2014-11-28,1192.09998,1165.25,1191.76001
1211.98999,2014-12-01,1222.09998,1142.84998,1167.51501
1198.48999,2014-12-02,1214.0,1192.0,1212.20996
1209.53491,2014-12-03,1215.5,1194.51001,1198.44995
1204.8501,2014-12-04,1213.59998,1201.40503,1209.55005
1192.58008,2014-12-05,1207.71997,1186.34998,1205.25
1203.65002,2014-12-08,1209.07007,1187.25,1190.79504
1231.40002,2014-12-09,1238.59998,1199.39502,1203.2749
1226.41504,2014-12-10,1238.59998,1224.745,1231.05005
1227.6001,2014-12-11,1233.09998,1216.0,1226.34009
